survey=ada_a5_e5c_geometry_ablation
label,key_count,tokens_pruned_legacy,tokens_pruned_v2,total,legacy_exact,v2_exact,v2_gain
natural-0-a2-p16-l8,64,0,0,64,true,true,0
natural-1-a2-p16-l8,128,0,0,128,true,true,0
natural-2-a2-p16-l8,256,0,0,256,true,true,0
natural-3-a2-p16-l8,512,0,0,512,true,true,0
natural-4-a2-p16-l8,64,0,0,64,true,true,0
natural-5-a2-p16-l8,128,32,32,128,true,true,0
natural-6-a2-p16-l8,256,72,72,256,true,true,0
natural-7-a2-p16-l8,512,120,120,512,true,true,0
natural-8-a2-p16-l8,64,0,0,64,true,true,0
natural-9-a2-p16-l8,128,0,0,128,true,true,0
natural-10-a2-p16-l8,256,0,0,256,true,true,0
natural-11-a2-p16-l8,512,0,0,512,true,true,0
natural-12-a2-p16-l8,64,0,0,64,true,true,0
natural-13-a2-p16-l8,128,0,0,128,true,true,0
natural-14-a2-p16-l8,256,0,0,256,true,true,0
natural-15-a2-p16-l8,512,8,8,512,true,true,0
natural-16-a2-p16-l8,64,0,0,64,true,true,0
natural-17-a2-p16-l8,128,0,0,128,true,true,0
natural-18-a2-p16-l8,256,0,0,256,true,true,0
natural-19-a2-p16-l8,512,8,8,512,true,true,0
natural-20-a2-p16-l8,64,0,0,64,true,true,0
natural-21-a2-p16-l8,128,0,0,128,true,true,0
natural-22-a2-p16-l8,256,0,0,256,true,true,0
natural-23-a2-p16-l8,512,0,0,512,true,true,0
natural-24-a2-p16-l8,64,0,0,64,true,true,0
natural-25-a2-p16-l8,128,0,0,128,true,true,0
natural-26-a2-p16-l8,256,0,0,256,true,true,0
natural-27-a2-p16-l8,512,0,0,512,true,true,0
natural-28-a2-p16-l8,64,0,0,64,true,true,0
natural-29-a2-p16-l8,128,0,0,128,true,true,0
natural-30-a2-p16-l8,256,0,0,256,true,true,0
natural-31-a2-p16-l8,512,0,0,512,true,true,0
natural-32-a2-p16-l8,64,0,8,64,true,true,8
natural-33-a2-p16-l8,128,16,16,128,true,true,0
natural-34-a2-p16-l8,256,80,88,256,true,true,8
natural-35-a2-p16-l8,512,376,400,512,true,true,24
natural-36-a2-p16-l8,64,0,0,64,true,true,0
natural-37-a2-p16-l8,128,32,32,128,true,true,0
natural-38-a2-p16-l8,256,88,88,256,true,true,0
natural-39-a2-p16-l8,512,320,336,512,true,true,16
natural-40-a2-p16-l8,64,0,0,64,true,true,0
natural-41-a2-p16-l8,128,0,0,128,true,true,0
natural-42-a2-p16-l8,256,80,88,256,true,true,8
natural-43-a2-p16-l8,512,104,112,512,true,true,8
natural-44-a2-p16-l8,64,0,0,64,true,true,0
natural-45-a2-p16-l8,128,0,0,128,true,true,0
natural-46-a2-p16-l8,256,0,0,256,true,true,0
natural-47-a2-p16-l8,512,0,0,512,true,true,0
natural-48-a2-p16-l8,64,0,0,64,true,true,0
natural-49-a2-p16-l8,128,0,0,128,true,true,0
natural-50-a2-p16-l8,256,0,0,256,true,true,0
natural-51-a2-p16-l8,512,8,8,512,true,true,0
natural-52-a2-p16-l8,64,0,0,64,true,true,0
natural-53-a2-p16-l8,128,0,0,128,true,true,0
natural-54-a2-p16-l8,256,0,0,256,true,true,0
natural-55-a2-p16-l8,512,104,104,512,true,true,0
natural-56-a2-p16-l8,64,0,0,64,true,true,0
natural-57-a2-p16-l8,128,0,0,128,true,true,0
natural-58-a2-p16-l8,256,0,0,256,true,true,0
natural-59-a2-p16-l8,512,8,8,512,true,true,0
natural-60-a2-p16-l8,64,0,0,64,true,true,0
natural-61-a2-p16-l8,128,0,0,128,true,true,0
natural-62-a2-p16-l8,256,0,0,256,true,true,0
natural-63-a2-p16-l8,512,8,8,512,true,true,0
natural-64-a2-p16-l8,64,0,0,64,true,true,0
natural-65-a2-p16-l8,128,0,0,128,true,true,0
natural-66-a2-p16-l8,256,0,0,256,true,true,0
natural-67-a2-p16-l8,512,0,0,512,true,true,0
natural-68-a2-p16-l8,64,0,0,64,true,true,0
natural-69-a2-p16-l8,128,0,0,128,true,true,0
natural-70-a2-p16-l8,256,0,0,256,true,true,0
natural-71-a2-p16-l8,512,0,0,512,true,true,0
natural-72-a2-p16-l8,64,0,0,64,true,true,0
natural-73-a2-p16-l8,128,0,0,128,true,true,0
natural-74-a2-p16-l8,256,72,80,256,true,true,8
natural-75-a2-p16-l8,512,0,0,512,true,true,0
natural-76-a2-p16-l8,64,0,0,64,true,true,0
natural-77-a2-p16-l8,128,0,0,128,true,true,0
natural-78-a2-p16-l8,256,64,56,256,true,true,-8
natural-79-a2-p16-l8,512,16,32,512,true,true,16
natural-80-a2-p16-l8,64,16,16,64,true,true,0
natural-81-a2-p16-l8,128,80,80,128,true,true,0
natural-82-a2-p16-l8,256,176,176,256,true,true,0
natural-83-a2-p16-l8,512,280,304,512,true,true,24
natural-84-a2-p16-l8,64,0,0,64,true,true,0
natural-85-a2-p16-l8,128,24,24,128,true,true,0
natural-86-a2-p16-l8,256,96,88,256,true,true,-8
natural-87-a2-p16-l8,512,88,104,512,true,true,16
natural-88-a2-p16-l8,64,0,0,64,true,true,0
natural-89-a2-p16-l8,128,24,24,128,true,true,0
natural-90-a2-p16-l8,256,152,160,256,true,true,8
natural-91-a2-p16-l8,512,64,80,512,true,true,16
natural-92-a2-p16-l8,64,0,0,64,true,true,0
natural-93-a2-p16-l8,128,0,0,128,true,true,0
natural-94-a2-p16-l8,256,0,0,256,true,true,0
natural-95-a2-p16-l8,512,0,0,512,true,true,0
natural-96-a2-p16-l8,64,0,0,64,true,true,0
natural-97-a2-p16-l8,128,0,0,128,true,true,0
natural-98-a2-p16-l8,256,0,0,256,true,true,0
natural-99-a2-p16-l8,512,0,0,512,true,true,0
natural-100-a2-p16-l8,64,24,24,64,true,true,0
natural-101-a2-p16-l8,128,0,0,128,true,true,0
natural-102-a2-p16-l8,256,0,0,256,true,true,0
natural-103-a2-p16-l8,512,0,0,512,true,true,0
natural-104-a2-p16-l8,64,0,0,64,true,true,0
natural-105-a2-p16-l8,128,0,0,128,true,true,0
natural-106-a2-p16-l8,256,0,0,256,true,true,0
natural-107-a2-p16-l8,512,0,0,512,true,true,0
natural-108-a2-p16-l8,64,0,0,64,true,true,0
natural-109-a2-p16-l8,128,0,0,128,true,true,0
natural-110-a2-p16-l8,256,0,0,256,true,true,0
natural-111-a2-p16-l8,512,0,0,512,true,true,0
natural-112-a2-p16-l8,64,0,0,64,true,true,0
natural-113-a2-p16-l8,128,0,0,128,true,true,0
natural-114-a2-p16-l8,256,0,0,256,true,true,0
natural-115-a2-p16-l8,512,0,0,512,true,true,0
natural-116-a2-p16-l8,64,0,0,64,true,true,0
natural-117-a2-p16-l8,128,0,0,128,true,true,0
