survey=ada_a5_e5c_geometry_ablation
label,key_count,tokens_pruned_legacy,tokens_pruned_v2,total,legacy_exact,v2_exact,v2_gain
natural-104-a1.5-p16-l8,64,0,0,64,true,true,0
natural-105-a1.5-p16-l8,128,0,0,128,true,true,0
natural-106-a1.5-p16-l8,256,0,0,256,true,true,0
natural-107-a1.5-p16-l8,512,0,0,512,true,true,0
natural-108-a1.5-p16-l8,64,0,0,64,true,true,0
natural-109-a1.5-p16-l8,128,0,0,128,true,true,0
natural-110-a1.5-p16-l8,256,0,0,256,true,true,0
natural-111-a1.5-p16-l8,512,0,0,512,true,true,0
natural-112-a1.5-p16-l8,64,0,0,64,true,true,0
natural-113-a1.5-p16-l8,128,0,0,128,true,true,0
natural-114-a1.5-p16-l8,256,0,0,256,true,true,0
natural-115-a1.5-p16-l8,512,0,0,512,true,true,0
natural-116-a1.5-p16-l8,64,0,0,64,true,true,0
natural-117-a1.5-p16-l8,128,0,0,128,true,true,0
natural-118-a1.5-p16-l8,256,0,0,256,true,true,0
natural-119-a1.5-p16-l8,512,0,0,512,true,true,0
natural-120-a1.5-p16-l8,64,0,0,64,true,true,0
natural-121-a1.5-p16-l8,128,0,0,128,true,true,0
natural-122-a1.5-p16-l8,256,0,0,256,true,true,0
natural-123-a1.5-p16-l8,512,0,0,512,true,true,0
natural-124-a1.5-p16-l8,64,0,0,64,true,true,0
natural-125-a1.5-p16-l8,128,0,0,128,true,true,0
natural-126-a1.5-p16-l8,256,0,0,256,true,true,0
natural-127-a1.5-p16-l8,512,0,0,512,true,true,0
natural-128-a1.5-p16-l8,64,8,8,64,true,true,0
natural-129-a1.5-p16-l8,128,8,8,128,true,true,0
natural-130-a1.5-p16-l8,256,80,96,256,true,true,16
natural-131-a1.5-p16-l8,512,168,184,512,true,true,16
natural-132-a1.5-p16-l8,64,0,0,64,true,true,0
natural-133-a1.5-p16-l8,128,0,0,128,true,true,0
natural-134-a1.5-p16-l8,256,0,0,256,true,true,0
natural-135-a1.5-p16-l8,512,88,112,512,true,true,24
natural-136-a1.5-p16-l8,64,0,0,64,true,true,0
natural-137-a1.5-p16-l8,128,0,0,128,true,true,0
natural-138-a1.5-p16-l8,256,8,8,256,true,true,0
natural-139-a1.5-p16-l8,512,32,64,512,true,true,32
natural-140-a1.5-p16-l8,64,0,0,64,true,true,0
natural-141-a1.5-p16-l8,128,0,0,128,true,true,0
natural-142-a1.5-p16-l8,256,0,0,256,true,true,0
natural-143-a1.5-p16-l8,512,0,0,512,true,true,0
natural-144-a1.5-p16-l8,64,0,0,64,true,true,0
natural-145-a1.5-p16-l8,128,8,8,128,true,true,0
natural-146-a1.5-p16-l8,256,8,8,256,true,true,0
natural-147-a1.5-p16-l8,512,8,8,512,true,true,0
natural-148-a1.5-p16-l8,64,0,0,64,true,true,0
natural-149-a1.5-p16-l8,128,0,0,128,true,true,0
natural-150-a1.5-p16-l8,256,8,8,256,true,true,0
natural-151-a1.5-p16-l8,512,8,8,512,true,true,0
natural-152-a1.5-p16-l8,64,0,0,64,true,true,0
natural-153-a1.5-p16-l8,128,0,0,128,true,true,0
natural-154-a1.5-p16-l8,256,8,8,256,true,true,0
natural-155-a1.5-p16-l8,512,8,8,512,true,true,0
natural-156-a1.5-p16-l8,64,0,0,64,true,true,0
natural-157-a1.5-p16-l8,128,0,0,128,true,true,0
natural-158-a1.5-p16-l8,256,0,0,256,true,true,0
natural-159-a1.5-p16-l8,512,8,8,512,true,true,0
natural-160-a1.5-p16-l8,64,0,0,64,true,true,0
natural-161-a1.5-p16-l8,128,0,0,128,true,true,0
natural-162-a1.5-p16-l8,256,0,0,256,true,true,0
natural-163-a1.5-p16-l8,512,0,0,512,true,true,0
natural-164-a1.5-p16-l8,64,0,0,64,true,true,0
natural-165-a1.5-p16-l8,128,0,0,128,true,true,0
natural-166-a1.5-p16-l8,256,0,0,256,true,true,0
natural-167-a1.5-p16-l8,512,0,0,512,true,true,0
natural-168-a1.5-p16-l8,64,0,0,64,true,true,0
natural-169-a1.5-p16-l8,128,0,0,128,true,true,0
natural-170-a1.5-p16-l8,256,0,0,256,true,true,0
natural-171-a1.5-p16-l8,512,0,0,512,true,true,0
natural-172-a1.5-p16-l8,64,0,0,64,true,true,0
natural-173-a1.5-p16-l8,128,0,0,128,true,true,0
natural-174-a1.5-p16-l8,256,0,0,256,true,true,0
natural-175-a1.5-p16-l8,512,0,0,512,true,true,0
natural-176-a1.5-p16-l8,64,0,0,64,true,true,0
natural-177-a1.5-p16-l8,128,0,0,128,true,true,0
natural-178-a1.5-p16-l8,256,88,96,256,true,true,8
natural-179-a1.5-p16-l8,512,136,168,512,true,true,32
natural-180-a1.5-p16-l8,64,0,0,64,true,true,0
natural-181-a1.5-p16-l8,128,8,8,128,true,true,0
natural-182-a1.5-p16-l8,256,24,32,256,true,true,8
natural-183-a1.5-p16-l8,512,8,24,512,true,true,16
